TimeSeries ID,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="mwt-agendamed" AND resource.labels.service="cloudscheduler.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.cloud.location.Locations.ListLocations.project_id:mwt-agendamed,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="mwt-agendamed" AND resource.labels.service="cloudscheduler.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.cloud.scheduler.v1.CloudScheduler.CreateJob.project_id:mwt-agendamed,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="mwt-agendamed" AND resource.labels.service="cloudscheduler.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.cloud.scheduler.v1.CloudScheduler.GetJob.project_id:mwt-agendamed,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="mwt-agendamed" AND resource.labels.service="cloudscheduler.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.cloud.scheduler.v1.CloudScheduler.ListJobs.project_id:mwt-agendamed,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="mwt-agendamed" AND resource.labels.service="cloudscheduler.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.cloud.scheduler.v1beta1.CloudScheduler.ListJobs.project_id:mwt-agendamed
method,google.cloud.location.Locations.ListLocations,google.cloud.scheduler.v1.CloudScheduler.CreateJob,google.cloud.scheduler.v1.CloudScheduler.GetJob,google.cloud.scheduler.v1.CloudScheduler.ListJobs,google.cloud.scheduler.v1beta1.CloudScheduler.ListJobs
project_id,mwt-agendamed,mwt-agendamed,mwt-agendamed,mwt-agendamed,mwt-agendamed
Sat Aug 15 2026 09:00:00 GMT-0300 (Horário Padrão de Brasília),0,0,1,0,0
